Time_s,Pump_PWM_pct,Qin_L_min,Qout_L_min,Level_mm,Tank_T_C
0,20,0.84,2.06718068876429,80,25
6.17323192162958,20,0.84,2.01570670108724,76.0655110985308,25
12.3464638432592,20,0.84,1.96515532887581,72.298098520353,25
18.5196957648887,20,0.84,1.91555692277411,68.6947002110403,25
24.6929276865183,20,0.84,1.86694194424603,65.2521362861331,25
47.1929276865183,20,0.84,1.69830961379961,53.9966534836679,25
69.6929276865183,20,0.84,1.54455440143139,44.6621398674179,25
92.1929276865183,20,0.84,1.40744190151069,37.0846394840448,25
114.692927686518,20,0.84,1.28785906197993,31.0505848686819,25
130.737975070103,20,0.84,1.2132857468021,27.5587363467522,25
146.783022453688,20,0.84,1.14775691256716,24.6622640143573,25
162.828069837273,20,0.84,1.09115027216242,22.2895981675737,25
178.873117220859,20,0.84,1.04296876388536,20.3645919381105,25
194.918164604444,20,0.84,1.00240522978675,18.8113410015985,25
210.963211988029,20,0.84,0.968839937817344,17.5726465865197,25
227.008259371614,20,0.84,0.941552572229569,16.596719605884,25
243.053306755199,20,0.84,0.919588009301404,15.831414073099,25
249.15451806768,20,0.84,0.912419769509563,15.5855625252972,25
255.255729380161,20,0.84,0.90585024966342,15.3619350733782,25
261.356940692643,20,0.84,0.899837438900011,15.158674436818,25
267.458152005124,20,0.84,0.894340355661306,14.9740322652789,25
273.559363317606,20,0.84,0.889319802656569,14.8063848829715,25
279.660574630087,20,0.84,0.884739688332192,14.6542679339057,25
285.761785942568,20,0.84,0.880565622073643,14.5163209292057,25
291.86299725505,20,0.84,0.87676468973638,14.3912729588262,25
295.774125939814,20,0.84,0.868479293933619,14.1205640688497,25
299.685254624579,20,0.84,0.874370450665673,14.3127818823447,25
303.596383309344,40,1.68,0.909562664979504,15.4881076827887,25
307.507511994108,40,1.68,0.957306213700482,17.1567437284447,25
311.418640678873,40,1.68,0.997141589832933,18.614302606728,25
315.329769363637,40,1.68,1.033408744378,19.9929726878068,25
319.240898048402,40,1.68,1.06664340506542,21.2996081390226,25
323.152026733167,40,1.68,1.09726442470982,22.5400931328626,25
338.399388056713,40,1.68,1.19728219720677,26.8365175197113,25
353.646749380259,40,1.68,1.27463060680996,30.4159785945212,25
368.894110703805,40,1.68,1.33628933619517,33.4298258280877,25
384.141472027351,40,1.68,1.38662789612699,35.9958948640808,25
402.970714397086,40,1.68,1.43716374997935,38.6674575287621,25
421.799956766822,40,1.68,1.47778340843545,40.8841225197411,25
440.629199136557,40,1.68,1.51078711983041,42.7306654057107,25
459.458441506293,40,1.68,1.5379099127019,44.2787040001868,25
481.958441506293,40,1.68,1.56433599295264,45.8134696767906,25
504.458441506293,40,1.68,1.58554480269788,47.0641419544768,25
526.958441506293,40,1.68,1.60262987258894,48.0838878735354,25
549.458441506293,40,1.68,1.6164988092609,48.9197114382055,25
571.958441506293,40,1.68,1.61178428134523,48.6347783195978,25
594.458441506293,40,1.68,1.64577474527108,50.707698094317,25
616.958441506293,60,2.52,1.75535842549554,57.6852427894583,25
639.458441506293,60,2.52,1.88644372995689,66.6224836876535,25
661.958441506293,60,2.52,1.98269648004021,73.5945373850416,25
684.458441506293,60,2.52,2.06104546670365,79.5258378581413,25
706.958441506293,60,2.52,2.12579458849626,84.6010401949242,25
729.458441506293,60,2.52,2.18000160076305,88.9706438741874,25
751.958441506293,60,2.52,2.22581358691909,92.749309866595,25
774.458441506293,60,2.52,2.26475146484262,96.0227649024165,25
796.958441506293,60,2.52,2.29802216655626,98.8647643703073,25
819.458441506293,60,2.52,2.326597427672,101.338762295365,25
839.59383112972,60,2.52,2.34881796702415,103.283709904446,25
859.729220753146,60,2.52,2.36832085349305,105.006017268226,25
879.864610376573,60,2.52,2.38547285761721,106.53248740633,25
900,60,2.52,2.40058901636773,107.886905857863,25
